step,element,n,r2,rmse,mae,residual_icc_protein,fold
L2,8,34847,0.26327875430621,68.9347860584348,48.4951621334457,0.159787410684298,fold_02
L3,1,182506,-0.50949087752048,11.5812687727632,7.98651014775718,0.597287089673407,fold_02
L3,16,2343,0.251481016075042,131.695314681115,83.8037325007139,0.541720690117786,fold_02
L3,6,119811,-0.0314890711508915,56.8401105776018,44.2465571148232,0.403683318683636,fold_02
L3,7,32241,-0.407710709842382,64.8136453976139,44.3207414492515,0.534374948820715,fold_02
L3,8,34847,0.264970543745712,68.8555904512771,48.2311370529726,0.177354606499376,fold_02
L4,1,182506,-0.516920600483748,11.6097353240802,7.85275602344524,0.623013800062112,fold_02
L4,16,2343,0.259878674512701,130.954483994312,81.818815998546,0.579890034675419,fold_02
L4,6,119811,0.296889759351043,46.9282447199497,39.1075387842984,0.320874993390376,fold_02
L4,7,32241,-0.401446252197541,64.6692708994497,44.160216773341,0.533630371069745,fold_02
L4,8,34847,0.314459036888579,66.4972277508365,43.8799308788662,0.273538356751251,fold_02
L5,1,182506,-0.522826326005879,11.6323130733557,7.79360259450474,0.643006980369544,fold_02
L5,16,2343,0.252226434579897,131.629723440795,81.9252781587561,0.587510419344491,fold_02
L5,6,119811,0.118254779654562,52.5525937677724,34.6810874289124,0.675363204631486,fold_02
L5,7,32241,-0.396229976312648,64.5488070439825,43.4207678105001,0.572898654463594,fold_02
L5,8,34847,0.268671321902125,68.6820322228098,43.0145488284594,0.407785926690037,fold_02
L6,1,182506,-0.521772974329223,11.6282892934065,7.78002978506665,0.646979273258488,fold_02
L6,16,2343,0.253180466895957,131.545728033843,81.7156009813363,0.593999283963518,fold_02
L6,6,119811,0.0988076430782889,53.1289641486977,34.6750160234761,0.68433212791585,fold_02
L6,7,32241,-0.394432000971594,64.5072327502965,43.2271494056799,0.583727259652344,fold_02
L6,8,34847,0.268021192992229,68.7125535580713,42.8110309313246,0.410954647950815,fold_02
L0,1,181481,0.0936367800965345,8.97614920711814,8.30916325433597,0.113080801207791,fold_03
L0,16,2342,0.0812473459137468,146.297480752934,112.406458904254,0.242375160602492,fold_03
L0,6,118989,0.173080662243963,50.788234767006,43.7190603285536,0.0204028886139347,fold_03
L0,7,32097,0.0972590251915766,52.2049252500507,45.4904274069063,0.087973919173485,fold_03
L0,8,34381,0.223980067536578,71.152279386792,51.6457867628682,0.0413790753739735,fold_03
L1,1,181481,0.877672396470457,3.29762418922573,2.5818640568215,0.0248625218408353,fold_03
L1,16,2342,0.717847057043714,81.0736706810665,59.1677300234088,0.213300160081726,fold_03
L1,6,118989,0.529839183034557,38.2961186953371,31.3261536665916,0.00772894890360616,fold_03
L1,7,32097,0.780814096565167,25.7238643374097,19.9210022548511,0.0415005005332279,fold_03
L1,8,34381,0.238268564223725,70.4941890013507,51.15106239252,0.0410872541834321,fold_03
L2,1,181481,-0.508632523545979,11.580589286814,7.97298649300926,0.588391334316372,fold_03
L2,16,2342,0.204650976667416,136.118269862499,89.2561635088085,0.445504294786955,fold_03
L2,6,118989,-0.0209572557493829,56.4332840765051,44.0593969262189,0.403822991914536,fold_03
L2,7,32097,-0.401577941626235,65.0486859140001,45.5300164526851,0.401708130583241,fold_03
L2,8,34381,0.261701746317194,69.4014109321827,48.2130461249699,0.149244606519374,fold_03
L3,1,181481,-0.510816652633674,11.5889691783538,7.96874027672308,0.593331624761455,fold_03
L3,16,2342,0.261707419418953,131.145017773311,83.669294221524,0.523557144578946,fold_03
L3,6,118989,-0.0208663136536573,56.4307706140727,43.8805386476099,0.412222079259099,fold_03
L3,7,32097,-0.406302335153517,65.1582256851258,44.4357544868042,0.528432375247192,fold_03
L3,8,34381,0.26031114524459,69.4667397300105,47.9237252846069,0.168262858543543,fold_03
L4,1,181481,-0.515929695014267,11.6085628336024,7.8235714735096,0.621127204896727,fold_03
L4,16,2342,0.267546512541986,130.625380906306,81.8552597503915,0.541993401582442,fold_03
L4,6,118989,0.291202022654106,47.0210993993158,39.2174033493313,0.286057882613667,fold_03
L4,7,32097,-0.40838970865903,65.2065649071637,44.3627957820134,0.533641276354559,fold_03
L4,8,34381,0.297806628338572,67.6831779364557,44.362832892781,0.267037722307956,fold_03
L5,1,181481,-0.517029099266645,11.612771534795,7.75801042325731,0.641528409517791,fold_03
L5,16,2342,0.274062048697989,130.043094386627,81.3000261007031,0.552209807046154,fold_03
L5,6,118989,0.181547331731168,50.5275602734006,34.2140204656892,0.667670516515676,fold_03
L5,7,32097,-0.397966063391158,64.9648163385222,43.4583137221015,0.57336614438963,fold_03
L5,8,34381,0.249371083177317,69.9785637369975,43.6520990792636,0.396619602350269,fold_03
L6,1,181481,-0.550534304347082,11.740311387672,7.84464917937762,0.646122321240484,fold_03
L6,16,2342,0.280922107529122,129.427187151679,80.7908358339111,0.54813417934667,fold_03
L6,6,118989,0.163166366943244,51.0917887268876,34.0409142840019,0.680854449774155,fold_03
L6,7,32097,-0.396359261794352,64.9274708029535,43.2401869438772,0.584153765957561,fold_03
L6,8,34381,0.24850029996838,70.0191420404646,43.4055753217038,0.398971302119333,fold_03
